net_profit,current_assets,total_inventory,proprtor_capt_reserves,total_debt,capital_allowance,installment_tax_paid,tax_payable_IT,sales_exempt,output_VAT,input_VAT,VAT_payable,less_crdt_bal_prv_mnth,WVAT - credit,VAT_advance_paid,paye_payable,current_ratio,quick_ratio,Gearing_ratio,total_liabilities,payment_time
12203754.25,167610171.3,15326245,66261067.99,1820000,5292318.225,289658.75,3892104.498,329935.625,63027825.07,33210906.12,-6367670.829,7877323.808,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,0.027467109,120180657.8,1
12203754.25,167610171.3,15326245,-39756640.79,23817765,5292318.225,0,3892104.498,0,63027825.07,33210906.12,9093209.121,7877323.808,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,-0.59908897,142178422.8,0
12203754.25,167610171.3,15326245,66261067.99,28416650,5292318.225,0,3892104.498,329935.625,63027825.07,33210906.12,9093209.121,6872420.69,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,0.428858919,146777307.8,1
12203754.25,167610171.3,15326245,66261067.99,82970981.25,5292318.225,289658.75,3892104.498,329935.625,63027825.07,33210906.12,-6367670.829,7877323.808,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,1.252182975,201331639,1
107994,0,0,1,2,0,0,32398.2,0,135250.88,55811.36,57746.72,9580.8,12112,0,0,0,0,2,2,0
3122766,10236842,0,5379197,12145938,2720399.2,0,1681279.8,0,13127686.72,10143086.03,876638.69,0,2107962,0,0,1.682307365,1.682307365,2.257946307,18230939,1
12203754.25,167610171.3,15326245,66261067.99,82970981.25,5292318.225,0,3892104.498,0,63027825.07,33210906.12,9093209.121,7877323.808,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,1.252182975,201331639,0
-8317999.75,167610171.3,15326245,-39756640.79,82970981.25,5292318.225,0,3892104.498,0,63027825.07,33210906.12,-6367670.829,7877323.808,3289713.125,0,7830261.319,1.416096991,1.286609327,-2.086971625,201331639,0
12203754.25,167610171.3,15326245,66261067.99,82970981.25,5292318.225,0,0,329935.625,63027825.07,33210906.12,-6367670.829,7877323.808,2659177,330826.6063,7039315.46,1.416096991,1.286609327,1.252182975,201331639,1
7426571,15426366,0,12488714,1268313,1191610.13,289658.75,2222322.3,0,5208216.25,1254324.05,2847905.62,183510.58,922476,84684.02,7830261.319,1.534003535,1.534003535,0.101556734,11324591,1
-8317999.75,167610171.3,15326245,-39756640.79,82970981.25,4368042.74,0,0,329935.625,63027825.07,33210906.12,9093209.121,3908938.98,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,-2.086971625,201331639,1
4084376,163627877,15326245,15326162,60926634,1450731.48,289658.75,1199396.58,329935.625,63027825.07,33210906.12,3467587.36,1134595.04,7780,318773.58,2045344.1,1.722878409,1.561504583,3.975335378,155900183,1
12203754.25,167610171.3,15326245,66261067.99,82970981.25,5292318.225,289658.75,3892104.498,329935.625,63027825.07,33210906.12,-6367670.829,7877323.808,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,1.252182975,201331639,1
-3381566,27278775,0,29781528,7751143,3621308,0,500937.3,0,14337553.66,4098594.75,6359581.85,992161.06,2887216,0,2502259.76,36.74052589,36.74052589,0.2602668,8493614,1
3865163,24402096,7937570,8264850,0,89185.76,0,818537.7,329935.625,63027825.07,33210906.12,-1821778.38,4617232.94,515652,74027,1621823.35,1.475869162,0.995795041,0,16534051,1
243931,7309203,0,1674673,906243,59620.98,0,120616.03,0,15145632.74,11859433.52,-5516972.84,5569060.41,3234111.65,9820,191403.7,1.472670026,1.472670026,0.541146242,5869475,1
-134303,140513162,0,-39756640.79,82970981.25,749603.33,289658.75,2742998.4,0,15820874.17,4990347.73,9093209.121,0,598533,0,4677293.75,1.187161044,1.187161044,-2.086971625,201331639,1
12203754.25,17264178,0,66261067.99,82970981.25,11365.8,289658.75,3892104.498,329935.625,15698563.23,1516106.64,9093209.121,0,12060,330826.6063,927000,0.87997188,0.87997188,1.252182975,102589992.3,1
-8317999.75,34045641,0,-39756640.79,82970981.25,3785301.2,50164,99993.5,329935.625,20542482.73,8517217.92,9093209.121,1883130.43,104489,330826.6063,7060769.08,0.360307711,0.360307711,-2.086971625,177461440.3,1
12203754.25,123794450,0,66261067.99,0,0,0,1743725.4,0,4456701.96,602130.59,3826548.42,17780.95,10242,330826.6063,7830261.319,7.343645706,7.343645706,0,16857356,1
939140,4376548,2053924,42355698,12471170,403469.86,0,497780.05,0,8952707.03,7888541.29,1064165.74,0,0,0,844039.1,0.166136376,0.088168194,0.294439015,38814275,1
-204640,818639,0,-64862,871951,42136.33,5000,9186.3,0,500346.85,0,500346.85,0,0,0,358255,3.22216362,3.22216362,-13.44317166,1126016,1
-984581,731985,187000,-1156787,820199,7262.8,0,0,0,228451.91,207060.74,-208202.54,225199.71,4394,0,172140.85,0.44225708,0.329273789,-0.709032,2475311,1
-14558.31,489591.47,0,180033.16,218458.31,0,0,0,0,1241206.88,915892.08,-471030.38,655722.18,140623,0,0,5.374220307,5.374220307,1.213433736,309558.31,1
-639346,37018981,2253689,43523735,0,0,0,0,329935.625,5578342,614859.75,-6367670.829,7877323.808,2565998,233272,1583482.25,3.169074071,2.976143115,0,11681324,1
-8317999.75,39010748.82,14757151,-39756640.79,82970981.25,5292318.225,0,0,0,21216359.86,15564532.8,4318166.65,872428.21,461232.2,176818.3,758237.4,0.652467432,0.405649293,-2.086971625,142760553.7,1
12203754.25,34915298,0,7182509,82970981.25,62710.81,289658.75,3892104.498,0,10319316.44,910565.98,9093209.121,76320.35,46298,140997,7830261.319,0.497527446,0.497527446,11.55181027,153148613.3,1
-8317999.75,167610171.3,0,66261067.99,82970981.25,5292318.225,289658.75,3892104.498,329935.625,63027825.07,27768117.51,9093209.121,1234909.45,3289713.125,330826.6063,7830261.319,1.416096991,1.416096991,1.252182975,201331639,1
12203754.25,167610171.3,15326245,66261067.99,82970981.25,5292318.225,289658.75,3892104.498,329935.625,63027825.07,33210906.12,9093209.121,7877323.808,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,1.252182975,201331639,1
-8317999.75,3794692.69,387382,60071651.94,14400000,4071037,0,0,0,6934912.87,6782747.86,-4867562.34,5019727.35,0,0,1716447.6,0.724550532,0.650584639,0.239713734,19637305.78,0
202956,71137500,3886996,-11678632,32500000,1306810.88,137586,242242.59,329935.625,16511945.17,3782835.94,7051667.98,4322667.25,1354774,330826.6063,2362779.95,0.641211797,0.606175597,-2.782860184,143442282,1
12203754.25,71823948,0,66261067.99,82970981.25,569345.61,289658.75,3892104.498,0,21283323.36,7237405.76,-6367670.829,7877323.808,3289713.125,0,2128340.1,0.629755633,0.629755633,1.252182975,197021486.3,1
289166,1708700,1447000,1708700,0,0,0,85803.65,0,20255563.6,19744387.35,168180.73,240157.52,102838,0,578766.9,0,0,0,0,1
0,0,0,0,0,0,0,0,0,256030.13,17667.03,227497.52,9440.58,1425,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1891472.8,1970457.24,-547043.28,457961.84,10097,0,0,0,0,0,0,0
-8317999.75,167610171.3,0,-34037499,82970981.25,5292318.225,0,3892104.498,0,63027825.07,33210906.12,2976276.06,5609482.54,3289713.125,50679,3217594.5,1.416096991,1.416096991,-2.437634482,201331639,1
12203754.25,167610171.3,0,-2472006,82970981.25,5292318.225,289658.75,3892104.498,329935.625,63027825.07,17454276.85,9093209.121,7877323.808,3289713.125,330826.6063,7830261.319,1.416096991,1.416096991,-33.56423134,201331639,1
-4444123.7,1329329,0,8510327.8,0,142116.8,0,0,0,3731744.8,2856125.06,-888516,1393819.79,370315.95,0,179800.25,2.453147981,2.453147981,0,541887,1
-8317999.75,112467598,15326245,66261067.99,0,299182.15,289658.75,1169359.2,329935.625,10512208.66,6580685.57,-6367670.829,7877323.808,1705183,217232.95,4858248.59,0.950210992,0.820723329,0,118360657.8,1
12203754.25,104086388,0,66261067.99,0,71227.68,289658.75,3892104.498,329935.625,8331554.6,421715.83,7293238.77,0,616600,0,71250,22.48733555,22.48733555,0,4628667,1
49957.2,928012.34,0,1218436,67000,81896.15,0,41808.03,329935.625,1522984.34,1176394.81,115315.51,66614.02,164660,7852.64,0,4.723657687,4.723657687,0.054988526,263460.54,1
10124900,17482407,0,14634505,0,0,140000,2858114.8,0,9940450.21,348892,8447177.21,541641,602740,330826.6063,0,7.364138969,7.364138969,0,2373992,1
-8317999.75,2818650,0,5407782,4943431,0,4353,0,329935.625,3385663.26,1009951.43,1117649.88,885837.95,372224,0,856313.91,2.691107644,2.691107644,0.914132818,5990825,1
-254455,13377575,0,19639482,0,690737.85,0,733778.1,0,6641791.95,949650.72,2806233.4,1337512.83,1548395,0,4780999.54,53.5103,53.5103,0,250000,1
156275,4016452,656112,385022,4243490,0,40000,51843,0,6506382.56,6363434.85,111151.95,31795.76,0,5714,61500,1.283567046,1.073888518,11.02142215,7372623,1
12203754.25,167610171.3,15326245,66261067.99,57783547,1692230.6,289658.75,3892104.498,329935.625,63027825.07,33210906.12,-1805520.8,7877323.808,3289713.125,5826.59,7568034.85,1.416096991,1.286609327,0.872058793,176144204.8,1
-3762569,8640700,1368793,-10657795,19693598,708987.05,13653,16545.9,329935.625,3728231.93,2212997.25,-836083.01,2119962.34,238206,0,728852.59,3.32218339,2.79590874,-1.847811672,22294508,1
145375,2999515,846125,475090,2377563,307794.65,29193,115177.25,0,4960378.63,4750628.85,106416.33,103333.45,0,10404,0,1.222872805,0.877915953,5.004447578,4830406,1
-277867.26,51267.1,0,4051,0,0,0,6228.52,0,438174.4,374536.31,-459205.41,468519.2,54324.3,0,0,0,0,0,0,1
